Trajectory,Scenario,RMSE_before_m,RMSE_after_m,GPS_Rejection@Attack_%,GPS_FalseRej@Clean_%,RSSI_Rejection@Attack_%,RSSI_FalseRej@Clean_%,Consistency_3sigma_%,TimeToDetect_s,ModeSwitches,%GPS,%RSSI,%BLEND,%DR,MeanConf_before,MeanConf_after
Helical Turn,Combined Attack,0.2872442432521277,1.0333704524484075,16.549999999999997,2.3250000000000015,39.80000000000001,2.041666666666667,99.78333333333333,2.5700000000000003,2.0,60.9,0.0,39.1,0.0,0.9520819781626135,0.576217129858472
Helical Turn,Sudden Total Outage,0.2991282974994139,0.27586137241464737,0.8750000000000008,2.3125000000000013,2.312500000000001,2.333333333333334,99.45833333333333,12.0,1.0,98.05,0.0,1.95,0.0,0.948345202182437,0.964585792743905
Hover-Loiter,Nominal (No Attack),0.27980593885608296,0.23306057965467142,1.3000000000000012,2.3250000000000015,2.850000000000001,2.458333333333334,99.38333333333333,10.0,1.0,97.825,0.0,2.175,0.0,0.9485960646259444,0.948807642207152
Hover-Loiter,GPS Spoofing,0.27980593885608296,0.22682784502938047,15.924999999999995,2.3250000000000015,2.850000000000001,2.458333333333334,99.75,10.0,1.0,97.825,0.0,2.175,0.0,0.9485960646259444,0.832605574694325
Hover-Loiter,GPS Jamming,0.27980593885608296,0.7415856895350407,1.700000000000001,2.3250000000000015,2.850000000000001,2.458333333333334,96.55,1.7599999999999998,2.0,56.625,0.0,43.375,0.0,0.9485960646259444,0.9450808416361542
Hover-Loiter,RSSI Degradation,0.27980593885608296,0.16159640732516808,1.3000000000000012,2.3250000000000015,39.925,2.458333333333334,99.76666666666667,10.0,1.0,97.825,0.0,2.175,0.0,0.9485960646259444,0.6982598058723325
Hover-Loiter,Combined Attack,0.27980593885608296,1.0020379870844593,16.549999999999997,2.3250000000000015,39.925,2.458333333333334,99.68333333333334,2.6450000000000005,2.0,61.05,0.0,38.95,0.0,0.9485960646259444,0.5768633100695728
Hover-Loiter,Sudden Total Outage,0.29454999008462696,0.3700976752604829,0.8541666666666675,2.3125000000000013,1.645833333333334,2.416666666666667,99.66666666666666,12.0,1.0,97.825,0.0,2.175,0.0,0.9476056693529851,0.9700616673714066
Figure-8 Aggressive,Nominal (No Attack),0.2891296684079893,1.5244162156802752,15.050000000000002,3.2000000000000015,3.325000000000001,2.233333333333334,87.75833333333333,3.9850000000000003,3.0,91.42500000000001,0.0,8.575,0.0,0.9424023861098083,0.8359064773255598
Figure-8 Aggressive,GPS Spoofing,0.2891296684079893,1.48489475726386,29.674999999999997,3.2000000000000015,3.325000000000001,2.233333333333334,91.40833333333333,3.2249999999999996,4.0,86.65,0.0,13.350000000000001,0.0,0.9424023861098083,0.7403935427566838
Figure-8 Aggressive,GPS Jamming,0.2891296684079893,1.526734875870002,3.2750000000000017,3.2000000000000015,3.325000000000001,2.233333333333334,90.33333333333333,1.9100000000000001,2.0,57.925,0.0,42.075,0.0,0.9424023861098083,0.9272061075239428
Figure-8 Aggressive,RSSI Degradation,0.2891296684079893,1.7787306432007421,15.050000000000002,3.2000000000000015,41.75000000000001,2.233333333333334,87.44999999999999,10.0,1.0,98.375,0.0,1.625,0.0,0.9424023861098083,0.5862692184256934
Figure-8 Aggressive,Combined Attack,0.2891296684079893,2.0387407791536902,17.749999999999996,3.2000000000000015,41.75000000000001,2.233333333333334,93.75833333333333,3.2200000000000006,2.0,64.475,0.0,35.525,0.0,0.9424023861098083,0.5627761676516643
Figure-8 Aggressive,Sudden Total Outage,0.30996296216169816,1.001561599167704,9.666666666666666,3.3125000000000018,2.0208333333333344,2.5416666666666674,95.36666666666667,3.295,5.5,92.375,0.0,7.625,0.0,0.9382412485825699,0.8998818712337573
